,Sector,Entry_Date,Exit_Date,Entry_Spread,Exit_Spread,PnL,Holding_Period
200,USD FRN Investment Grade Corporates,2024-04-09,2024-04-10,-0.0035229894069916945,0.010672224015678466,1419.521342267016,1
201,USD FRN Investment Grade Corporates,2024-04-15,2024-04-16,0.00593072114919635,0.0030153746108726454,291.53465383237045,1
202,USD FRN Investment Grade Corporates,2024-04-17,2024-04-18,-0.004405093232489055,0.0026816911936841104,708.6784426173165,1
203,USD FRN Investment Grade Corporates,2024-05-01,2024-05-06,-0.0033268649192271793,-0.0008951180252128044,243.1746894014375,5
204,USD FRN Investment Grade Corporates,2024-05-15,2024-05-16,-0.005898713670571265,0.0012641234650719868,716.2837135643252,1
205,USD FRN Investment Grade Corporates,2024-05-23,2024-05-24,0.003215939303647608,-0.000768925320618008,398.4864624265616,1
206,USD FRN Investment Grade Corporates,2024-05-28,2024-05-30,0.004003916962606158,-0.0034861488807378382,749.0065843343996,2
207,USD FRN Investment Grade Corporates,2024-05-31,2024-06-05,-0.0035778550639493645,-0.002497481521172018,108.03735427773464,5
208,USD FRN Investment Grade Corporates,2024-06-07,2024-06-10,0.007736720639182848,0.0017863567231674038,595.0363916015444,3
209,USD FRN Investment Grade Corporates,2024-06-12,2024-06-14,-0.0040446385314028,-0.001282902972989386,276.1735558413414,2
210,USD FRN Investment Grade Corporates,2024-06-17,2024-06-18,0.003635143462353496,-0.0032862121886179096,692.1355650971406,1
211,USD FRN Investment Grade Corporates,2024-06-26,2024-06-27,0.005044771381624846,-0.0017549575003288354,679.9728881953681,1
212,USD FRN Investment Grade Corporates,2024-06-28,2024-06-30,0.004466435250936485,0.000130713524577164,433.5721726359321,2
213,USD FRN Investment Grade Corporates,2024-07-01,2024-07-02,0.005766699523217178,-0.002971227712673885,873.7927235891063,1
214,USD FRN Investment Grade Corporates,2024-07-03,2024-07-04,-0.0040594293019284855,7.2660877135311e-05,413.20901790637964,1
215,USD FRN Investment Grade Corporates,2024-07-05,2024-07-08,-0.004699143307122178,-5.5948850703257946e-05,464.319445641892,3
216,USD FRN Investment Grade Corporates,2024-07-11,2024-07-12,-0.004905269214156016,-0.0023412425562938655,256.40266578621504,1
217,USD FRN Investment Grade Corporates,2024-07-26,2024-07-29,-0.003316951644261712,-0.0012463985211139672,207.05531231477448,3
218,USD FRN Investment Grade Corporates,2024-07-31,2024-08-05,-0.005434194545225424,-0.00014812666732189061,528.6067877903533,5
219,USD FRN Investment Grade Corporates,2024-08-06,2024-08-08,0.005505238306299898,0.0017594678193356694,374.5770486964228,2
220,USD FRN Investment Grade Corporates,2024-08-15,2024-08-16,0.004574741547010208,-0.0014731969973686976,604.7938544378906,1
221,USD FRN Investment Grade Corporates,2024-08-22,2024-08-23,0.004004618525417447,-0.003603212495217223,760.783102063467,1
222,USD FRN Investment Grade Corporates,2024-09-04,2024-09-05,-0.00466572879649485,-0.0017789841920725635,288.6744604422287,1
223,USD FRN Investment Grade Corporates,2024-09-18,2024-09-19,0.0035305207275055928,0.0002345089950903656,329.6011732415227,1
224,USD FRN Investment Grade Corporates,2024-09-25,2024-09-26,0.0038529985177914172,0.000566447274827353,328.6551242964064,1
225,USD FRN Investment Grade Corporates,2024-09-27,2024-09-30,-0.0027451959820348204,0.0025404237178557887,528.5619699890609,3
